delay_limit,max_trace_len,min_trace_len,max_trace_duration,min_num_traces,path,seed,client_sample_size,trace_sample_size,target_trace_sample_size,approach,fields,typical,dependent,multiple,metric,strategy,scoring_matrix,scope,top_1,top_1_std,top_10,top_10_std,top_10_percent,top_10_percent_std
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,900,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6833333333333333,0.465176191231765,0.78,0.414246303544158,0.9166666666666666,0.2763853991962814
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,1000,500,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.665,0.471990466005404,0.769,0.4214724190264398,0.903,0.2959577672574259
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,5,1,frequency,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.655,0.4753682782853719,0.7975,0.4018628497385657,0.97,0.1705872210923192
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,5,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6,0.489897948556634,0.7575,0.4285950886326174,0.94,0.2374868417407576
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,10,1,frequency,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.7,0.4582575694955852,0.82,0.3841874542459721,0.9775,0.1483028994996389
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,10,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.6525,0.4761761753804994,0.79,0.4073082370883259,0.935,0.2465258607124222
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,25,1,frequency,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.71,0.4537620521815377,0.8375,0.3689088640843433,0.975,0.1561249499599601
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,25,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.7875,0.4090767042988388,0.9125,0.282566363886433
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,50,1,frequency,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.71,0.4537620521815375,0.84,0.3666060555964664,0.9725,0.1635351644142633
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,50,1,frequency,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.675,0.468374849879881,0.785,0.4108223460329295,0.905,0.2932149382279159
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,10,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.3,0.4582575694955839,0.7,0.458257569495584,0.9,0.3
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,50,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.26,0.4386342439892262,0.44,0.4963869458396341,0.74,0.438634243989226
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,100,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.33,0.4702127178203494,0.46,0.4983974317750846,0.81,0.3923009049186604
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,200,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.24,0.4270831300812529,0.445,0.4969657935914711,0.8,0.3999999999999994
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,300,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2966666666666667,0.4567883049680179,0.4566666666666666,0.4981186828680704,0.7733333333333333,0.4186751591495368
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.285,0.4514144437210683,0.4525,0.4977386362339189,0.795,0.4037016224886899
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,500,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.284,0.4509368026675152,0.482,0.4996758949559231,0.816,0.3874841932259948
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,600,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.27,0.4439594576084627,0.445,0.4969657935914704,0.7783333333333333,0.4153679760833221
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,700,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2342857142857143,0.4235515533761484,0.4042857142857143,0.4907532735603546,0.7814285714285715,0.4132770973374552
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,800,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2925,0.4549107055236207,0.45,0.4974937185533082,0.79125,0.406415350964992
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,900,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2733333333333333,0.4456705310228867,0.4744444444444444,0.4993464865003496,0.8011111111111111,0.3991642503599643
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,1000,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.296,0.4564909637659867,0.477,0.4994707198625364,0.795,0.4037016224886859
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,5,1,sequence,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.1175,0.3220151393956497,0.355,0.4785133226985426,0.9875,0.1111024302164444
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,5,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.1825,0.3862560679135031,0.4125,0.4922842166878817,0.8975,0.3033047147671786
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,10,1,sequence,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.1175,0.3220151393956498,0.34,0.4737087712930802,0.9825,0.131124940419434
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,10,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2225,0.4159251735588983,0.435,0.4957569969249044,0.8525,0.3546036519834512
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,25,1,sequence,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.115,0.3190219428189847,0.3275,0.4693013424229691,0.985,0.1215524578114322
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,25,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.275,0.4465142774872949,0.435,0.4957569969249044,0.8175,0.3862560679135035
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,50,1,sequence,"[Category, Domain, Age, Gender, Url]",true,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.115,0.3190219428189842,0.3125,0.4635124054434789,0.9925,0.0862771696336871
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,50,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2825,0.4502152263084849,0.455,0.4979708826829147,0.81,0.3923009049186595
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,1,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.085,0.2788816953476857,0.265,0.4413332074521469,0.715,0.15612494995996
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,5,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.1825,0.3862560679135036,0.4125,0.4922842166878817,0.7975,0.3033047147671789
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,10,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2225,0.4159251735588986,0.435,0.4957569969249043,0.8525,0.3546036519834515
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,15,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.255,0.4358612164439504,0.4425,0.4966827458247366,0.8525,0.3546036519834511
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,20,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.245,0.4300872004605585,0.445,0.4969657935914712,0.845,0.3619046835839527
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,25,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.275,0.4465142774872948,0.435,0.4957569969249041,0.8175,0.3862560679135032
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,30,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2725,0.4452457186767779,0.44,0.4963869458396345,0.8175,0.3862560679135036
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,35,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2675,0.4426553399655313,0.4425,0.4966827458247365,0.8175,0.3862560679135032
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,40,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2825,0.4502152263084849,0.445,0.4969657935914712,0.81,0.3923009049186596
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,45,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2825,0.4502152263084849,0.45,0.4974937185533097,0.81,0.3923009049186599
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,50,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.2825,0.450215226308485,0.455,0.4979708826829147,0.81,0.3923009049186597
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",local,0.3125,0.4635124054434789,0.47,0.4990991885387121,0.8,0.3999999999999993
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,sw,"[1, -1, -1, -1]",local,0.1625,0.3689088640843433,0.38,0.485386443980464,0.82,0.3841874542459723
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.285,0.4514144437210683,0.4525,0.4977386362339189,0.795,0.4037016224886898
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Category, Domain, Age, Gender, Url]",false,false,false,kullbrack_leibler,sw,"[1, -1, -1, -1]",global,0.2525,0.4344464869233027,0.4075,0.4913692603327955,0.7375,0.4399928976699502
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,[Url],false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.015,0.1215524578114325,0.015,0.1215524578114325,0.02,0.1399999999999998
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,[Category],false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.0275,0.1635351644142633,0.055,0.2279802623035599,0.2275,0.4192180220362649
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,[Domain],false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.0625,0.2420614591379635,0.1,0.3,0.2225,0.4159251735588983
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Category]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.1025,0.3033047147671781,0.21,0.407308237088326,0.45,0.4974937185533095
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Domain]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.235,0.4239988207530765,0.3775,0.4847615393159806,0.6275,0.4834705265060113
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Category, Domain]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.1725,0.3778144385806329,0.2775,0.4477652844962398,0.5175,0.4996936561534483
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Age]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.02,0.1399999999999998,0.03,0.1705872210923193,0.0575,0.2327955111251077
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Gender]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.0175,0.1311249404194343,0.02,0.1399999999999998,0.0275,0.1635351644142632
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Hour]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.0475,0.2127057827140578,0.085,0.2788816953476855,0.2225,0.4159251735588983
1800.0,500,10,86400.0,4,/home/john/data/browsing/browsing.csv,0,400,500,1,sequence,"[Url, Day]",false,false,false,kullbrack_leibler,nw,"[1, -1, -1, -1]",global,0.0125,0.1111024302164444,0.015,0.1215524578114324,0.0325,0.1773238562630532
